# Lindhard-Scharff electronic stopping table for Pb (Z=82, M=207.2) in diamond.
# Generated by potentials/generate_stopping.py — see docstring for caveats.
# Columns: E(eV)  dE/dx_C(eV/A)  dE/dx_ion(eV/A)
4.630940e+03  1.199341e+01  9.915977e+00
4.946605e+03  1.239544e+01  1.024836e+01
5.283786e+03  1.281094e+01  1.059189e+01
5.643951e+03  1.324036e+01  1.094694e+01
6.028667e+03  1.368418e+01  1.131388e+01
6.439607e+03  1.414288e+01  1.169313e+01
6.878558e+03  1.461696e+01  1.208508e+01
7.347430e+03  1.510692e+01  1.249018e+01
7.848262e+03  1.561331e+01  1.290885e+01
8.383232e+03  1.613667e+01  1.334156e+01
8.954669e+03  1.667758e+01  1.378878e+01
9.565058e+03  1.723662e+01  1.425098e+01
1.021705e+04  1.781439e+01  1.472868e+01
1.091349e+04  1.841154e+01  1.522239e+01
1.165740e+04  1.902870e+01  1.573265e+01
1.245202e+04  1.966655e+01  1.626001e+01
1.330080e+04  2.032578e+01  1.680505e+01
1.420744e+04  2.100710e+01  1.736836e+01
1.517588e+04  2.171127e+01  1.795056e+01
1.621033e+04  2.243904e+01  1.855226e+01
1.731530e+04  2.319120e+01  1.917414e+01
1.849558e+04  2.396858e+01  1.981686e+01
1.975632e+04  2.477201e+01  2.048113e+01
2.110299e+04  2.560238e+01  2.116767e+01
2.254146e+04  2.646058e+01  2.187721e+01
2.407799e+04  2.734754e+01  2.261054e+01
2.571924e+04  2.826424e+01  2.336846e+01
2.747238e+04  2.921167e+01  2.415178e+01
2.934501e+04  3.019085e+01  2.496135e+01
3.134529e+04  3.120286e+01  2.579806e+01
3.348192e+04  3.224879e+01  2.666282e+01
3.576419e+04  3.332978e+01  2.755657e+01
3.820203e+04  3.444700e+01  2.848027e+01
4.080604e+04  3.560168e+01  2.943494e+01
4.358756e+04  3.679506e+01  3.042161e+01
4.655867e+04  3.802844e+01  3.144135e+01
4.973231e+04  3.930317e+01  3.249528e+01
5.312227e+04  4.062062e+01  3.358453e+01
5.674331e+04  4.198224e+01  3.471029e+01
6.061118e+04  4.338949e+01  3.587379e+01
6.474269e+04  4.484392e+01  3.707629e+01
6.915583e+04  4.634711e+01  3.831910e+01
7.386979e+04  4.790068e+01  3.960357e+01
7.890506e+04  4.950632e+01  4.093110e+01
8.428357e+04  5.116579e+01  4.230312e+01
9.002870e+04  5.288088e+01  4.372113e+01
9.616543e+04  5.465347e+01  4.518668e+01
1.027205e+05  5.648547e+01  4.670135e+01
1.097223e+05  5.837888e+01  4.826680e+01
1.172015e+05  6.033576e+01  4.988472e+01
1.251904e+05  6.235823e+01  5.155687e+01
1.337240e+05  6.444850e+01  5.328507e+01
1.428391e+05  6.660884e+01  5.507120e+01
1.525757e+05  6.884159e+01  5.691721e+01
1.629759e+05  7.114918e+01  5.882509e+01
1.740850e+05  7.353412e+01  6.079693e+01
1.859514e+05  7.599901e+01  6.283486e+01
1.986266e+05  7.854652e+01  6.494110e+01
2.121658e+05  8.117943e+01  6.711795e+01
2.266280e+05  8.390059e+01  6.936777e+01
2.420759e+05  8.671296e+01  7.169300e+01
2.585768e+05  8.961961e+01  7.409617e+01
2.762025e+05  9.262368e+01  7.657990e+01
2.950297e+05  9.572846e+01  7.914688e+01
3.151401e+05  9.893731e+01  8.179991e+01
3.366214e+05  1.022537e+02  8.454187e+01
3.595670e+05  1.056813e+02  8.737574e+01
3.840766e+05  1.092238e+02  9.030460e+01
4.102569e+05  1.128850e+02  9.333164e+01
4.382217e+05  1.166689e+02  9.646014e+01
4.680928e+05  1.205797e+02  9.969352e+01
5.000000e+05  1.246216e+02  1.030353e+02
